row_no,topic,observable,dataset_or_experiment,row_label,part4_section,present_in_part4_label_block
30,EHT（ブラックホール影）,リング直径（Sgr A*）,,EHT（ブラックホール影）｜リング直径（Sgr A*）,\ref{sec:p4:eht-s9},1
31,銀河回転曲線（SPARC）,V_obs(R) の回転曲線フィット（single-Υ）,,銀河回転曲線（SPARC）｜V_obs(R) の回転曲線フィット（single-Υ）,\ref{sec:p4:cosmo-ddr-s5},1
32,連星パルサー（軌道減衰）,一致度 R = Pdot_b(obs)/Pdot_b(P-model quad)（R=1が一致）,,連星パルサー（軌道減衰）｜一致度 R = Pdot_b(obs)/Pdot_b(P-model quad)（R=1が一致）,\ref{sec:p4:eht-s9},1
33,重力波（GW150914）,chirp位相（f(t)抽出→四重極チャープ則fit）,,重力波（GW150914）｜chirp位相（f(t)抽出→四重極チャープ則fit）,\ref{sec:p4:eht-s9},1
34,重力波（GW151226）,chirp位相（f(t)抽出→四重極チャープ則fit）,,重力波（GW151226）｜chirp位相（f(t)抽出→四重極チャープ則fit）,\ref{sec:p4:eht-s9},1
35,重力波（GW170104）,chirp位相（f(t)抽出→四重極チャープ則fit）,,重力波（GW170104）｜chirp位相（f(t)抽出→四重極チャープ則fit）,\ref{sec:p4:eht-s9},1
36,重力波（GW170817）,chirp位相（f(t)抽出→四重極チャープ則fit）,,重力波（GW170817）｜chirp位相（f(t)抽出→四重極チャープ則fit）,\ref{sec:p4:eht-s9},1
37,重力波（GW190425）,chirp位相（f(t)抽出→四重極チャープ則fit）,,重力波（GW190425）｜chirp位相（f(t)抽出→四重極チャープ則fit）,\ref{sec:p4:eht-s9},1
38,重力波（GW200115_042309）,chirp位相（f(t)抽出→四重極チャープ則fit）,,重力波（GW200115_042309）｜chirp位相（f(t)抽出→四重極チャープ則fit）,\ref{sec:p4:eht-s9},1
39,重力波（GW200129_065458）,chirp位相（f(t)抽出→四重極チャープ則fit）,,重力波（GW200129_065458）｜chirp位相（f(t)抽出→四重極チャープ則fit）,\ref{sec:p4:eht-s9},1
40,重力波（GW200224_222234）,chirp位相（f(t)抽出→四重極チャープ則fit）,,重力波（GW200224_222234）｜chirp位相（f(t)抽出→四重極チャープ則fit）,\ref{sec:p4:eht-s9},1
41,重力波（GW191216_213338）,chirp位相（f(t)抽出→四重極チャープ則fit）,,重力波（GW191216_213338）｜chirp位相（f(t)抽出→四重極チャープ則fit）,\ref{sec:p4:eht-s9},1
42,重力波（GW200311_115853）,chirp位相（f(t)抽出→四重極チャープ則fit）,,重力波（GW200311_115853）｜chirp位相（f(t)抽出→四重極チャープ則fit）,\ref{sec:p4:eht-s9},1
43,重力波（GW250114: 面積定理/QNM/IMR）,面積定理の有意度 + ringdown QNM(220) + IMR整合,,重力波（GW250114: 面積定理/QNM/IMR）｜面積定理の有意度 + ringdown QNM(220) + IMR整合,\ref{sec:p4:eht-s9},1
44,強場（高次項同時拘束）,単一 λ_H で EHT+GW+Pulsar+Fe-Kα を同時拘束,,強場（高次項同時拘束）｜単一 λ_H で EHT+GW+Pulsar+Fe-Kα を同時拘束,\ref{sec:p4:eht-s9},1
45,BBN（初期熱史）,He-4 質量比 Yp（凍結温度導出）,,BBN（初期熱史）｜He-4 質量比 Yp（凍結温度導出）,\ref{sec:p4:z-n-s10},1
46,速度飽和 δ（理論）,γ_max（v→cで発散しない）,,速度飽和 δ（理論）｜γ_max（v→cで発散しない）,\ref{sec:p4:part-i-s7},1
47,量子（Bell）,CHSH/CH 指標の selection 感度監査,,量子（Bell）｜CHSH/CH 指標の selection 感度監査,\ref{sec:p4:bell-test-s3},1
48,量子（核質量）,Z–N 残差マップと差分予測,,量子（核質量）｜Z–N 残差マップと差分予測,\ref{sec:p4:z-n-s10},1
49,量子（核物理/BBN）,"BBN multi-isotope gate（D/H, He-3/He-4, Li-7）",,"量子（核物理/BBN）｜BBN multi-isotope gate（D/H, He-3/He-4, Li-7）",\ref{sec:p4:z-n-s10},1
50,量子（物性）,holdout 監査（condensed）,,量子（物性）｜holdout 監査（condensed）,\ref{sec:p4:materials-s11},1
51,量子（熱力学）,黒体ベースラインと最小監査,,量子（熱力学）｜黒体ベースラインと最小監査,\ref{sec:p4:12-s12},1
